GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
0500000US46115,46115,"Spink County, South Dakota",49627,61420,66053,29757,69662,81131,N,46905
0500000US46117,46117,"Stanley County, South Dakota",57930,66063,70500,37500,72877,81903,N,50953
0500000US46119,46119,"Sully County, South Dakota",61806,78259,79330,40500,85320,99260,N,57674
0500000US46121,46121,"Todd County, South Dakota",30539,31651,44007,23080,38117,38578,N,31322
0500000US46123,46123,"Tripp County, South Dakota",36978,53327,61723,24364,52558,66383,N,30396
0500000US46125,46125,"Turner County, South Dakota",51343,62220,68273,26760,61784,71801,N,37820
0500000US46127,46127,"Union County, South Dakota",64513,79649,85179,34970,91958,107612,N,58910
0500000US46129,46129,"Walworth County, South Dakota",42643,61700,66477,23720,60509,78232,N,30179
0500000US46135,46135,"Yankton County, South Dakota",50044,65232,73049,22814,64755,78759,N,39042
0500000US46137,46137,"Ziebach County, South Dakota",32500,30500,48828,23750,42639,42509,N,37605
0500000US47001,47001,"Anderson County, Tennessee",44199,56022,69564,25833,61081,72212,84792,38565
0500000US47003,47003,"Bedford County, Tennessee",40989,47734,58272,22686,53016,58536,N,35979
0500000US47005,47005,"Benton County, Tennessee",34087,42455,50635,17932,43985,52512,N,25190
0500000US47007,47007,"Bledsoe County, Tennessee",34450,42255,50018,18345,45955,54224,N,24167
0500000US47009,47009,"Blount County, Tennessee",46518,57971,64750,25354,60940,71637,79522,35023
0500000US47011,47011,"Bradley County, Tennessee",41575,51599,62160,23981,57306,67365,77891,32393
0500000US47013,47013,"Campbell County, Tennessee",32616,39832,49743,15023,41744,49765,N,23883
0500000US47015,47015,"Cannon County, Tennessee",39438,47253,52074,22878,52332,55629,N,43486
0500000US47017,47017,"Carroll County, Tennessee",36168,46641,55797,19036,48176,58634,N,26751
0500000US47019,47019,"Carter County, Tennessee",32754,41840,49365,18041,44972,52384,59034,27466
0500000US47021,47021,"Cheatham County, Tennessee",52138,60427,67284,32628,62739,69453,N,40550
0500000US47023,47023,"Chester County, Tennessee",41028,50954,60462,20159,52982,59088,N,35024
0500000US47025,47025,"Claiborne County, Tennessee",32884,42422,48739,16978,44033,51213,N,27896
0500000US47027,47027,"Clay County, Tennessee",29812,35868,38125,14509,39115,46124,N,22132
0500000US47029,47029,"Cocke County, Tennessee",30888,39915,49392,16129,42188,50884,N,22654
0500000US47031,47031,"Coffee County, Tennessee",39656,49822,58601,21663,52976,63187,N,27878
0500000US47033,47033,"Crockett County, Tennessee",37298,45201,51553,20401,48742,57654,N,27865
0500000US47035,47035,"Cumberland County, Tennessee",38350,44841,51176,21910,49929,58801,N,29467
0500000US47037,47037,"Davidson County, Tennessee",47434,59302,76720,35674,68794,83980,104603,47969
0500000US47039,47039,"Decatur County, Tennessee",37219,45944,55602,17445,54251,64192,N,31040
0500000US47041,47041,"DeKalb County, Tennessee",37409,45223,53810,22875,58461,67146,N,37670
0500000US47043,47043,"Dickson County, Tennessee",45056,52988,64483,21017,57614,67242,77084,29801
0500000US47045,47045,"Dyer County, Tennessee",41426,54054,64300,22281,57117,67180,78954,30929
0500000US47047,47047,"Fayette County, Tennessee",55623,65868,75569,26586,74448,83364,N,45853
0500000US47049,47049,"Fentress County, Tennessee",29784,37252,41828,14816,39402,46155,N,23499
0500000US47051,47051,"Franklin County, Tennessee",42663,50292,59114,22735,57973,67372,76649,33572
0500000US47053,47053,"Gibson County, Tennessee",37460,48133,56906,19727,50264,59196,N,29213
0500000US47055,47055,"Giles County, Tennessee",38739,47516,54662,20588,49731,56963,N,32002
0500000US47057,47057,"Grainger County, Tennessee",34566,43213,48946,19171,46255,53392,N,27538
0500000US47059,47059,"Greene County, Tennessee",35860,44581,51819,20895,47295,54951,61623,29924
0500000US47061,47061,"Grundy County, Tennessee",26856,35823,43681,15695,39107,47212,N,20525
